match_id,date,home_team,away_team,league,country,venue,kickoff_time,status,competition_stage
13378647,2025-05-10,Macará,LDU,"LigaPro Serie A, Primera Etapa",Ecuador,,00:00,Not started,12
13378653,2025-05-10,Orense SC,Deportivo Cuenca,"LigaPro Serie A, Primera Etapa",Ecuador,,01:00,Ended,12
13378652,2025-05-10,Libertad,Delfín,"LigaPro Serie A, Primera Etapa",Ecuador,,02:30,Not started,12
12598077,2025-05-10,Inter U20,Sampdoria U20,Primavera 1,Italy,,08:30,Ended,37
12716848,2025-05-10,Athletic Bilbao,Espanyol,Liga F,Spain,,09:30,Not started,29
12246915,2025-05-10,Tampines Rovers,Young Lions,Premier League,Singapore,,09:30,Ended,34
12716823,2025-05-10,SD Eibar,Atlético Madrid,Liga F,Spain,,10:15,Not started,29
12716842,2025-05-10,FC Levante Badalona,Valencia,Liga F,Spain,,10:45,Not started,29
12481984,2025-05-10,FC Kryvbas Kryvyi Rih,Kolos Kovalivka,Premier League,Ukraine,,10:45,Not started,28
13482628,2025-05-10,Sassuolo,Sampdoria,"Serie A Femminile, Relegation Round",Italy,,11:15,Not started,10
12499166,2025-05-10,1. FC Kaiserslautern,Darmstadt 98,2. Bundesliga,Germany,,11:30,Not started,33
12499174,2025-05-10,SSV Jahn Regensburg,Karlsruher SC,2. Bundesliga,Germany,,11:30,Not started,33
13851568,2025-05-10,Leyton Orient,Stockport County,"League One, Playoffs",England,,11:30,Ended,28
12592813,2025-05-10,Aston Villa,Brighton,Women's Super League,England,,11:30,Ended,22
12505583,2025-05-10,VSG Altglienicke,FC Rot-Weiß Erfurt,Regionalliga Northeast,Germany Amateur,,11:30,Not started,33
12448060,2025-05-10,Orenburg,FC Khimki,Premier League,Russia,,11:45,Ended,28
13482627,2025-05-10,FC Como,Napoli,"Serie A Femminile, Relegation Round",Italy,,11:45,Not started,10
12527973,2025-05-10,Wuppertaler SV,Sportfreunde Lotte,Regionalliga West,Germany Amateur,,11:45,Ended,33
12457137,2025-05-10,TSV Aubstadt,TSV Buchbach,Regionalliga Bavaria,Germany Amateur,,11:45,Ended,33
12598074,2025-05-10,Lazio U20,Fiorentina U20,Primavera 1,Italy,,11:45,Ended,37
12246911,2025-05-10,Balestier Khalsa,Brunei DPMM,Premier League,Singapore,,11:45,Not started,34
12436573,2025-05-10,Newcastle United,Chelsea,Premier League,England,,12:00,Not started,36
12598069,2025-05-10,Torino U20,Milan U20,Primavera 1,Italy,,12:00,Not started,37
12499160,2025-05-10,Fortuna Düsseldorf,FC Schalke 04,2. Bundesliga,Germany,,12:15,Ended,33
12592812,2025-05-10,Chelsea,Liverpool,Women's Super League,England,,12:15,Ended,22
12716833,2025-05-10,Real Madrid,Costa Adeje Tenerife,Liga F,Spain,,12:15,Not started,29
12523263,2025-05-10,SC Verl,TSV 1860 München,3. Liga,Germany,,12:15,Ended,37
12481990,2025-05-10,Vorskla Poltava,Chornomorets Odesa,Premier League,Ukraine,,12:15,Ended,28
12716844,2025-05-10,Real Betis,Barcelona,Liga F,Spain,,12:30,Not started,29
12523254,2025-05-10,Alemannia Aachen,1. FC Saarbrücken,3. Liga,Germany,,12:30,Ended,37
12527971,2025-05-10,FC Schalke 04 II U23,Fortuna Düsseldorf II U23,Regionalliga West,Germany Amateur,,12:30,Ended,33
12527975,2025-05-10,MSV Duisburg,KFC Uerdingen 05,Regionalliga West,Germany Amateur,,12:30,Canceled,33
12528099,2025-05-10,FC-Astoria Walldorf,FSV Frankfurt,Regionalliga Southwest,Germany Amateur,,12:30,Ended,33
12457144,2025-05-10,SpVgg Hankofen-Hailing,SpVgg Bayreuth,Regionalliga Bavaria,Germany Amateur,,12:30,Ended,33
13545654,2025-05-10,Zhetysu Taldykorgan,FC Okzhetpes,Premier League,Kazakhstan,,12:30,Not started,8
12246921,2025-05-10,Geylang International,Albirex Niigata Singapore,Premier League,Singapore,,12:30,Not started,34
12505598,2025-05-10,SV Babelsberg 03,FSV Luckenwalde,Regionalliga Northeast,Germany Amateur,,12:45,Ended,33
12527977,2025-05-10,Borussia Mönchengladbach II U23,FC Gütersloh,Regionalliga West,Germany Amateur,,12:45,Ended,33
12598073,2025-05-10,Sassuolo U20,Lecce U20,Primavera 1,Italy,,12:45,Ended,37
12499250,2025-05-10,SC Paderborn 07,1. FC Magdeburg,2. Bundesliga,Germany,,13:00,Ended,33
12716822,2025-05-10,Deportivo Abanca,Sevilla,Liga F,Spain,,13:00,Not started,29
12527969,2025-05-10,SV Rödinghausen,SC Paderborn 07 II,Regionalliga West,Germany Amateur,,13:00,Ended,33
12528100,2025-05-10,1. Göppinger SV,Kickers Offenbach,Regionalliga Southwest,Germany Amateur,,13:00,Ended,33
12528098,2025-05-10,FC 08 Homburg,Bahlinger SC,Regionalliga Southwest,Germany Amateur,,13:00,Ended,33
12501533,2025-05-10,Udinese,Monza,Serie A,Italy,,13:15,Not started,36
12499538,2025-05-10,Holstein Kiel,SC Freiburg,Bundesliga,Germany,,13:15,Ended,33
13482625,2025-05-10,Fiorentina,AS Roma,"Serie A Femminile, Championship Round",Italy,,13:15,Ended,10
12716843,2025-05-10,Levante UD,Madrid CFF,Liga F,Spain,,13:15,Not started,29
12505582,2025-05-10,FC Carl Zeiss Jena,ZFC Meuselwitz,Regionalliga Northeast,Germany Amateur,,13:15,Ended,33
12598070,2025-05-10,Udinese U20,Cremonese U20,Primavera 1,Italy,,13:15,Ended,37
12457060,2025-05-10,FC Würzburger Kickers,SpVgg Greuther Fürth II,Regionalliga Bavaria,Germany Amateur,,13:45,Ended,33
12481974,2025-05-10,Obolon Kyiv,LNZ Cherkasy,Premier League,Ukraine,,13:45,Ended,28
12499535,2025-05-10,1. FC Union Berlin,1. FC Heidenheim,Bundesliga,Germany,,14:00,Ended,33
13545648,2025-05-10,FC Turan,Atyrau,Premier League,Kazakhstan,,14:00,Ended,8
12246920,2025-05-10,Tanjong Pagar United,Lion City Sailors,Premier League,Singapore,,14:00,Ended,34
12437548,2025-05-10,Celta Vigo,Sevilla,LaLiga,Spain,,14:15,Ended,35
12448051,2025-05-10,Dinamo Makhachkala,Zenit St. Petersburg,Premier League,Russia,,14:15,Ended,28
12592811,2025-05-10,Everton,Tottenham,Women's Super League,England,,14:15,Ended,22
12716831,2025-05-10,Real Sociedad,Granada,Liga F,Spain,,14:30,Not started,29
12523258,2025-05-10,SpVgg Unterhaching,Arminia Bielefeld,3. Liga,Germany,,14:30,Not started,37
12568390,2025-05-10,Kickers Emden,Eintracht Norderstedt,Regionalliga North,Germany Amateur,,14:30,2nd half,33
12598075,2025-05-10,Hellas Verona U20,Juventus U20,Primavera 1,Italy,,14:30,Ended,37
13545651,2025-05-10,FC Kyzylzhar,Ulytau,Premier League,Kazakhstan,,14:30,Ended,8
12448057,2025-05-10,Akron Togliatti,Akhmat Grozny,Premier League,Russia,,14:45,Not started,28
12592810,2025-05-10,Leicester City,West Ham,Women's Super League,England,,14:45,Ended,22
12523260,2025-05-10,Erzgebirge Aue,SV Sandhausen,3. Liga,Germany,,14:45,Ended,37
12505588,2025-05-10,Viktoria Berlin,Greifswalder,Regionalliga Northeast,Germany Amateur,,14:45,Not started,33
12528129,2025-05-10,1. FSV Mainz 05 II U23,Stuttgarter Kickers,Regionalliga Southwest,Germany Amateur,,14:45,Ended,33
12436575,2025-05-10,Southampton,Man City,Premier League,England,,15:00,Ended,36
12465959,2025-05-10,Sporting Gijón,Deportivo La Coruña,LaLiga 2,Spain,,15:00,Ended,39
12499175,2025-05-10,SV 07 Elversberg,Eintracht Braunschweig,2. Bundesliga,Germany,,15:00,Ended,33
12450708,2025-05-10,Paris,Ajaccio,Ligue 2,France,,15:00,2nd half,34
13629502,2025-05-10,LASK,TSV Hartberg,"Austrian Bundesliga, Relegation Round",Austria,,15:00,2nd half,30
12568380,2025-05-10,Blau-Weiss Lohne,TSV Havelse,Regionalliga North,Germany Amateur,,15:00,Ended,33
12505584,2025-05-10,Hallescher,Hertha Zehlendorf,Regionalliga Northeast,Germany Amateur,,15:00,Not started,33
12527980,2025-05-10,1. FC Bocholt,Eintracht Hohkeppel,Regionalliga West,Germany Amateur,,15:00,Ended,33
12527976,2025-05-10,1. FC Düren,SC Rot-Weiß Oberhausen,Regionalliga West,Germany Amateur,,15:00,Ended,33
12528101,2025-05-10,Eintracht Frankfurt II,SG Barockstadt Fulda-Lehnerz,Regionalliga Southwest,Germany Amateur,,15:00,Ended,33
12457139,2025-05-10,SpVgg Ansbach,SV Wacker Burghausen,Regionalliga Bavaria,Germany Amateur,,15:00,Ended,33
12450707,2025-05-10,Lorient,FC Martigues,Ligue 2,France,,15:15,2nd half,34
12523261,2025-05-10,SV Waldhof Mannheim,SG Dynamo Dresden,3. Liga,Germany,,15:15,Ended,37
12528105,2025-05-10,FC Gießen,SGV Freiberg,Regionalliga Southwest,Germany Amateur,,15:15,Ended,33
12528130,2025-05-10,KSV Hessen Kassel,Eintracht Trier,Regionalliga Southwest,Germany Amateur,,15:15,Ended,33
12457138,2025-05-10,1. FC Nürnberg II,TSV Schwaben Augsburg,Regionalliga Bavaria,Germany Amateur,,15:15,Ended,33
12499532,2025-05-10,SV Werder Bremen,RB Leipzig,Bundesliga,Germany,,15:30,Ended,33
12450710,2025-05-10,Annecy,Grenoble Foot 38,Ligue 2,France,,15:30,2nd half,34
12592809,2025-05-10,Man City,Crystal Palace,Women's Super League,England,,15:30,Ended,22
12528097,2025-05-10,FC 08 Villingen,TSG Hoffenheim II U23,Regionalliga Southwest,Germany Amateur,,15:30,Ended,33
12598083,2025-05-10,Atalanta U20,Cagliari U20,Primavera 1,Italy,,15:30,Not started,37
13850479,2025-05-10,AS Soliman,ES Zarzis,Ligue 1,Tunisia,,15:30,Ended,29
12436566,2025-05-10,Fulham,Everton,Premier League,England,,15:45,Ended,36
12499536,2025-05-10,VfL Bochum 1848,1. FSV Mainz 05,Bundesliga,Germany,,15:45,Ended,33
12499164,2025-05-10,Hannover 96,SpVgg Greuther Fürth,2. Bundesliga,Germany,,15:45,Not started,33
12592814,2025-05-10,Arsenal,Man United,Women's Super League,England,,15:45,Ended,22
12501510,2025-05-10,Como,Cagliari,Serie A,Italy,,16:00,Ended,36
12505594,2025-05-10,1. FC Lokomotive Leipzig,VFC Plauen,Regionalliga Northeast,Germany Amateur,,16:00,Ended,33
12528090,2025-05-10,TSV Steinbach Haiger,SC Freiburg II U23,Regionalliga Southwest,Germany Amateur,,16:00,Ended,33
13826344,2025-05-10,Messina,Foggia,"Serie C, Relegation Playoffs",Italy,,16:00,Ended,29
12481973,2025-05-10,Polissya Zhytomyr,Dynamo Kyiv,Premier League,Ukraine,,16:00,Ended,28
12437494,2025-05-10,Valencia,Getafe,LaLiga,Spain,,16:15,Ended,35
12797985,2025-05-10,Turan Tovuz,Neftçi Baku PFK,Premier League,Azerbaijan,,16:15,2nd half,34
12527982,2025-05-10,SC Wiedenbrück,SC Fortuna Köln,Regionalliga West,Germany Amateur,,16:15,Ended,33
13826363,2025-05-10,Aurora Pro Patria,Pro Vercelli,"Serie C, Relegation Playoffs",Italy,,16:15,2nd half,29
13545736,2025-05-10,FK Zhenys,Kairat Almaty,Premier League,Kazakhstan,,16:15,Ended,20
12767401,2025-05-10,JS Saoura,ES Mostaganem,Ligue 1,Algeria,,16:30,Not started,25
12523259,2025-05-10,F.C. Hansa Rostock,Energie Cottbus,3. Liga,Germany,,16:30,Ended,37
12568404,2025-05-10,SV Todesfelde,Bremer SV,Regionalliga North,Germany Amateur,,16:30,Ended,33
13851454,2025-05-10,JS Omrane,US Ben Guerdane,Ligue 1,Tunisia,,16:30,Ended,29
12499151,2025-05-10,Preußen Münster,Hertha BSC,2. Bundesliga,Germany,,16:45,Ended,33
12797984,2025-05-10,Səbail FK,Zirə FK,Premier League,Azerbaijan,,16:45,Ended,34
12505590,2025-05-10,FC Eilenburg,Chemnitzer,Regionalliga Northeast,Germany Amateur,,16:45,Ended,33
12598084,2025-05-10,Bologna U20,Monza U20,Primavera 1,Italy,,16:45,Ended,37
12436564,2025-05-10,Ipswich Town,Brentford,Premier League,England,,17:00,Ended,36
12465962,2025-05-10,Burgos Club de Fútbol,Córdoba,LaLiga 2,Spain,,17:00,1st half,39
12457061,2025-05-10,FC Augsburg II,Eintracht Bamberg 2010,Regionalliga Bavaria,Germany Amateur,,17:00,Ended,33
12598082,2025-05-10,Empoli U20,Roma U20,Primavera 1,Italy,,17:00,Ended,37
13850478,2025-05-10,US Tataouine,Stade Tunisien,Ligue 1,Tunisia,,17:00,Ended,29
12481988,2025-05-10,Zorya Luhansk,Shakhtar Donetsk,Premier League,Ukraine,,17:00,Ended,28
13629486,2025-05-10,Austria Klagenfurt,WSG Tirol,"Austrian Bundesliga, Relegation Round",Austria,,17:15,2nd half,30
12523267,2025-05-10,Borussia Dortmund II U23,VfB Stuttgart II U21,3. Liga,Germany,,17:15,Ended,37
12523256,2025-05-10,FC Ingolstadt 04,SV Wehen Wiesbaden,3. Liga,Germany,,17:15,Ended,37
12436581,2025-05-10,Wolverhampton,Brighton & Hove Albion,Premier League,England,,17:30,Ended,36
12437554,2025-05-10,Mallorca,Real Valladolid,LaLiga,Spain,,17:30,1st half,35
12465969,2025-05-10,Elche,Levante UD,LaLiga 2,Spain,,17:30,1st half,39
12570278,2025-05-10,Dijon,US Boulogne Côte-d'Opale,National,France,,17:30,Ended,33
12568381,2025-05-10,Hamburger SV II U23,SC Weiche Flensburg 08,Regionalliga North,Germany Amateur,,17:30,Ended,33
12481981,2025-05-10,Rukh Lviv,Veres Rivne,Premier League,Ukraine,,17:30,2nd half,28
13575592,2025-05-10,Pharco,Petrojet,"Egyptian Premier League, Championship Round",Egypt,,17:45,Ended,22
13597551,2025-05-10,Ashdod SC,Hapoel Ironi Kiryat Shmona,"Premier League, Relegation Round",Israel,,17:45,Not started,33
12499153,2025-05-10,Hamburger SV,SSV Ulm 1846,2. Bundesliga,Germany,,18:00,Not started,33
12527858,2025-05-10,Juve Stabia,Reggiana,Serie B,Italy,,18:00,Ended,38
12527861,2025-05-10,Palermo,Frosinone,Serie B,Italy,,18:00,Ended,38
12767414,2025-05-10,USM Khenchela,MC Oran,Ligue 1,Algeria,,18:00,2nd half,25
13545650,2025-05-10,Astana,FC Tobol,Premier League,Kazakhstan,,18:00,Ended,8
13857282,2025-05-10,Birkirkara,Ħamrun Spartans,"Premier League, Playoffs",Malta,,18:00,1st half,29
12450711,2025-05-10,Red Star,USL Dunkerque,Ligue 2,France,,18:15,2nd half,34
12450709,2025-05-10,Rodez AF,Clermont Foot,Ligue 2,France,,18:15,2nd half,34
12615579,2025-05-10,Troyes,Amiens SC,Ligue 2,France,,18:15,2nd half,34
12767390,2025-05-10,NC Magra,ASO Chlef,Ligue 1,Algeria,,18:15,2nd half,25
12570284,2025-05-10,FC Villefranche Beaujolais,Quevilly - Rouen Métropole,National,France,,18:15,Ended,33
13850480,2025-05-10,EGS Gafsa,Avenir Sportif De Gabes,Ligue 1,Tunisia,,18:15,Ended,29
12450706,2025-05-10,Pau,Guingamp,Ligue 2,France,,18:30,2nd half,34
13629497,2025-05-10,SC Rheindorf Altach,Grazer AK 1902,"Austrian Bundesliga, Relegation Round",Austria,,18:30,2nd half,30
13573884,2025-05-10,Ceramica Cleopatra,Zamalek SC,"Egyptian Premier League, Championship Round",Egypt,,18:30,Ended,22
12450178,2025-05-10,Auxerre,Nantes,Ligue 1,France,,18:45,Not started,33
12465963,2025-05-10,Mirandés,CD Castellón,LaLiga 2,Spain,,18:45,Ended,39
12501515,2025-05-10,Empoli,Parma,Serie A,Italy,,19:00,Not started,36
12450184,2025-05-10,Stade Brestois,Lille,Ligue 1,France,,19:00,Not started,33
12499173,2025-05-10,1. FC Nürnberg,1. FC Köln,2. Bundesliga,Germany,,19:00,Ended,33
12450702,2025-05-10,Bastia,Caen,Ligue 2,France,,19:00,2nd half,34
12797980,2025-05-10,Sabah FK,Şamaxı FK,Premier League,Azerbaijan,,19:00,Ended,18
12436570,2025-05-10,Bournemouth,Aston Villa,Premier League,England,,19:15,1st half,36
12437555,2025-05-10,Las Palmas,Rayo Vallecano,LaLiga,Spain,,19:15,Ended,35
13597548,2025-05-10,Bnei Sakhnin,Maccabi Bney Reine,"Premier League, Relegation Round",Israel,,19:15,Not started,33
13850482,2025-05-10,Virtus Entella,Avellino,Supercoppa Serie C,Italy,,19:15,Not started,1
12437544,2025-05-10,Atlético Madrid,Real Sociedad,LaLiga,Spain,,19:30,Not started,35
12450703,2025-05-10,Stade Lavallois,Metz,Ligue 2,France,,19:30,2nd half,34
12448102,2025-05-10,CSKA Moscow,FK Krasnodar,Premier League,Russia,,19:30,1st half,28
12505595,2025-05-10,Hertha BSC II U23,Berliner FC Dynamo,Regionalliga Northeast,Germany Amateur,,19:30,Ended,33
12457064,2025-05-10,DJK Vilzing,1. FC Schweinfurt 05,Regionalliga Bavaria,Germany Amateur,,19:30,Ended,33
12457146,2025-05-10,SV Viktoria Aschaffenburg,FV Illertissen,Regionalliga Bavaria,Germany Amateur,,19:30,Ended,33
12501530,2025-05-10,Lazio,Juventus,Serie A,Italy,,19:45,Halftime,36
12570285,2025-05-10,Châteauroux,US Orléans,National,France,,19:45,Ended,33
12568403,2025-05-10,VfB Oldenburg,VfB Lübeck,Regionalliga North,Germany Amateur,,19:45,Ended,33
12568399,2025-05-10,SV Werder Bremen II U23,SSV Jeddeloh,Regionalliga North,Germany Amateur,,19:45,Ended,33
12499534,2025-05-10,VfL Wolfsburg,TSG Hoffenheim,Bundesliga,Germany,,20:00,Ended,33
12499528,2025-05-10,FC Bayern München,Borussia M'gladbach,Bundesliga,Germany,,20:00,1st half,33
12570240,2025-05-10,FC Rouen,Paris 13 Atletico,National,France,,20:00,Ended,33
12570286,2025-05-10,Nîmes Olympique,Aubagne,National,France,,20:00,Ended,33
12437551,2025-05-10,Girona,Villarreal,LaLiga,Spain,,20:15,1st half,35
13573910,2025-05-10,Al-Ittihad Alexandria,Ghazl El Mahalla,"Egyptian Premier League, Relegation Round",Egypt,,20:45,Not started,23
12570257,2025-05-10,Sochaux,Bourg-en-Bresse,National,France,,20:45,Ended,33
12570250,2025-05-10,Valenciennes,Nancy,National,France,,20:45,Ended,33
13826343,2025-05-10,Caldiero Terme,Triestina,"Serie C, Relegation Playoffs",Italy,,20:45,Not started,29
13857283,2025-05-10,Sliema Wanderers,Floriana,"Premier League, Playoffs",Malta,,20:45,Ended,50
12501518,2025-05-10,Milan,Bologna,Serie A,Italy,,21:00,Ended,36
12450269,2025-05-10,Stade Rennais,Nice,Ligue 1,France,,21:00,Not started,33
12450191,2025-05-10,Toulouse,RC Lens,Ligue 1,France,,21:00,Not started,33
12465961,2025-05-10,Cádiz,Almería,LaLiga 2,Spain,,21:00,Ended,39
13573883,2025-05-10,National Bank of Egypt,Pyramids,"Egyptian Premier League, Championship Round",Egypt,,21:00,Ended,22
13493606,2025-05-10,Atlético Ottawa,Valour,Canadian Premier League,Canada,,21:00,Not started,6
12450276,2025-05-10,Montpellier,Paris Saint-Germain,Ligue 1,France,,21:15,Not started,33
12450172,2025-05-10,Stade de Reims,Saint-Étienne,Ligue 1,France,,21:15,Not started,33
12527863,2025-05-10,Sampdoria,Salernitana,Serie B,Italy,,21:15,Ended,38
13629496,2025-05-10,SK Sturm Graz,Red Bull Salzburg,"Austrian Bundesliga, Championship Round",Austria,,21:15,Ended,30
12457140,2025-05-10,Bayern München II,Türkgücü München,Regionalliga Bavaria,Germany Amateur,,21:30,Ended,33
13597540,2025-05-10,Hapoel Hadera,Hapoel Jerusalem,"Premier League, Relegation Round",Israel,,21:30,Not started,33
13826362,2025-05-10,Milan Futuro,SPAL,"Serie C, Relegation Playoffs",Italy,,21:30,Not started,29
12465967,2025-05-10,Real Zaragoza,FC Cartagena,LaLiga 2,Spain,,21:45,Not started,39
12527856,2025-05-10,Cittadella,Bari,Serie B,Italy,,21:45,Ended,38
12527859,2025-05-10,Mantova,Carrarese,Serie B,Italy,,21:45,Ended,38
12527864,2025-05-10,Sassuolo,Catanzaro,Serie B,Italy,,21:45,Ended,38
13378651,2025-05-10,Manta,Mushuc Runa,"LigaPro Serie A, Primera Etapa",Ecuador,,21:45,Not started,12
12570281,2025-05-10,US Concarneau,Le Mans,National,France,,21:45,Ended,33
13597579,2025-05-10,Ironi Tiberias,Maccabi Petach Tikva,"Premier League, Relegation Round",Israel,,21:45,Not started,33
12527865,2025-05-10,Spezia,Cremonese,Serie B,Italy,,22:00,Ended,38
13851573,2025-05-10,Notts County,AFC Wimbledon,"League Two, Playoffs",England,,22:00,Not started,28
12450199,2025-05-10,Le Havre,Olympique de Marseille,Ligue 1,France,,22:15,Not started,33
12527860,2025-05-10,Modena,Brescia,Serie B,Italy,,22:15,Ended,38
13826345,2025-05-10,Sestri Levante,Lucchese,"Serie C, Relegation Playoffs",Italy,,22:15,Not started,29
12450182,2025-05-10,AS Monaco,Olympique Lyonnais,Ligue 1,France,,22:30,Not started,33
13851585,2025-05-10,Coventry City,Sunderland,"Championship, Playoffs",England,,22:30,Ended,28
